timestamp,scenario,label,V_L1,V_L2,V_L3,I_L1,I_L2,I_L3,P_total,P_L1,P_L2,P_L3,PF_total,frequency,energy_total
2026-04-11T23:27:06.788424,bypass_blue_yellow,1,221.8,3.9,3.9,1.36,0.0,0.0,0.225,0.225,0.0,0.0,0.0,50.12,29.43
2026-04-11T23:27:12.006696,bypass_blue_yellow,1,220.8,4.1,4.1,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:27:17.233635,bypass_blue_yellow,1,221.5,4.2,4.2,1.25,0.0,0.0,0.202,0.202,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:27:22.447489,bypass_blue_yellow,1,220.9,4.1,4.1,1.23,0.0,0.0,0.198,0.198,0.0,0.0,0.0,50.12,29.43
2026-04-11T23:27:27.661815,bypass_blue_yellow,1,221.1,3.9,3.9,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.13,29.43
2026-04-11T23:27:32.884371,bypass_blue_yellow,1,221.1,4.3,4.3,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:27:38.106874,bypass_blue_yellow,1,221.6,4.1,4.1,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:27:43.320692,bypass_blue_yellow,1,222.4,4.2,4.2,1.25,0.0,0.0,0.203,0.203,0.0,0.0,0.0,50.13,29.43
2026-04-11T23:27:48.534772,bypass_blue_yellow,1,221.9,4.1,4.1,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.13,29.43
2026-04-11T23:27:53.748726,bypass_blue_yellow,1,222.1,3.8,3.9,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.13,29.43
2026-04-11T23:27:58.962570,bypass_blue_yellow,1,222.5,3.8,3.8,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:04.180791,bypass_blue_yellow,1,222.2,3.8,3.8,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:09.394639,bypass_blue_yellow,1,222.4,4.1,4.1,1.22,0.0,0.0,0.198,0.198,0.0,0.0,0.0,50.13,29.43
2026-04-11T23:28:14.608830,bypass_blue_yellow,1,222.1,4.1,4.1,1.25,0.0,0.0,0.203,0.203,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:19.822764,bypass_blue_yellow,1,222.1,4.4,4.4,1.25,0.0,0.0,0.203,0.203,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:25.036659,bypass_blue_yellow,1,222.3,4.1,4.1,1.22,0.0,0.0,0.198,0.198,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:30.250532,bypass_blue_yellow,1,222.2,4.3,4.3,1.22,0.0,0.0,0.198,0.198,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:35.464410,bypass_blue_yellow,1,222.2,4.0,4.0,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:40.682894,bypass_blue_yellow,1,222.2,4.1,4.1,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:28:45.896783,bypass_blue_yellow,1,222.1,4.1,4.1,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.15,29.43
2026-04-11T23:28:51.110680,bypass_blue_yellow,1,222.1,4.1,4.1,1.22,0.0,0.0,0.198,0.198,0.0,0.0,0.0,50.15,29.43
2026-04-11T23:28:56.324661,bypass_blue_yellow,1,222.1,4.3,4.3,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:29:01.544587,bypass_blue_yellow,1,222.0,4.3,4.3,1.22,0.0,0.0,0.197,0.197,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:29:06.762948,bypass_blue_yellow,1,221.7,4.3,4.3,1.25,0.0,0.0,0.202,0.202,0.0,0.0,0.0,50.14,29.43
2026-04-11T23:29:11.981288,bypass_blue_yellow,1,221.7,4.2,4.3,1.25,0.0,0.0,0.202,0.202,0.0,0.0,0.0,50.15,29.43
2026-04-11T23:29:17.195232,bypass_blue_yellow,1,221.6,4.1,4.1,1.25,0.0,0.0,0.203,0.203,0.0,0.0,0.0,50.15,29.43
