timestamp,scenario,label,V_L1,V_L2,V_L3,I_L1,I_L2,I_L3,P_total,P_L1,P_L2,P_L3,PF_total,frequency,energy_total
2026-04-06T00:57:29.970693,bypass_red,1,215.5,215.5,215.5,1.04,0.7,1.63,0.56,0.179,0.086,0.294,-0.064,50.18,13.57
2026-04-06T00:57:35.185130,bypass_red,1,215.8,215.8,215.8,1.04,0.62,1.63,0.55,0.18,0.075,0.294,-0.065,50.19,13.57
2026-04-06T00:57:40.403620,bypass_red,1,215.8,215.8,215.8,1.04,0.59,1.63,0.545,0.179,0.071,0.294,-0.065,50.2,13.57
2026-04-06T00:57:45.617822,bypass_red,1,215.9,215.9,215.9,1.04,0.6,1.63,0.546,0.179,0.071,0.294,-0.065,50.19,13.57
2026-04-06T00:57:50.832349,bypass_red,1,216.1,216.1,216.1,1.05,0.6,1.63,0.546,0.179,0.071,0.294,-0.065,50.19,13.57
2026-04-06T00:57:56.046845,bypass_red,1,215.8,215.8,215.8,1.04,0.6,1.63,0.546,0.179,0.071,0.294,-0.066,50.2,13.57
2026-04-06T00:58:01.261246,bypass_red,1,215.6,215.6,215.6,1.05,0.6,1.63,0.546,0.179,0.072,0.294,-0.065,50.2,13.57
2026-04-06T00:58:06.475564,bypass_red,1,215.2,215.2,215.2,1.04,0.61,1.63,0.546,0.179,0.071,0.295,-0.066,50.18,13.57
2026-04-06T00:58:11.689911,bypass_red,1,215.6,215.6,215.6,1.04,0.6,1.63,0.544,0.179,0.071,0.294,-0.066,50.18,13.57
2026-04-06T00:58:16.905921,bypass_red,1,215.3,215.3,215.3,1.04,0.6,1.64,0.546,0.179,0.071,0.295,-0.065,50.17,13.57
2026-04-06T00:58:22.128788,bypass_red,1,215.4,215.4,215.4,1.04,0.6,1.63,0.545,0.179,0.071,0.294,-0.065,50.19,13.57
2026-04-06T00:58:27.355856,bypass_red,1,215.3,215.3,215.3,1.04,0.6,1.63,0.544,0.178,0.071,0.294,-0.065,50.2,13.57
2026-04-06T00:58:32.574410,bypass_red,1,215.5,215.6,215.6,1.04,0.6,1.63,0.546,0.179,0.071,0.294,-0.066,50.19,13.57
2026-04-06T00:58:37.793286,bypass_red,1,215.8,215.8,215.8,1.04,0.59,1.63,0.546,0.179,0.071,0.294,-0.066,50.2,13.57
2026-04-06T00:58:43.024809,bypass_red,1,215.9,215.9,215.9,1.04,0.6,1.63,0.545,0.179,0.071,0.294,-0.065,50.19,13.58
2026-04-06T00:58:48.239107,bypass_red,1,216.5,216.6,216.6,1.04,0.6,1.63,0.544,0.178,0.071,0.294,-0.067,50.15,13.58
2026-04-06T00:58:53.453434,bypass_red,1,217.0,217.0,217.0,1.04,0.6,1.63,0.546,0.179,0.072,0.294,-0.067,50.13,13.58
2026-04-06T00:58:58.667749,bypass_red,1,216.8,216.8,216.8,1.04,0.6,1.63,0.546,0.179,0.071,0.294,-0.067,50.08,13.58
2026-04-06T00:59:03.882330,bypass_red,1,216.4,216.4,216.4,1.05,0.6,1.63,0.546,0.179,0.071,0.294,-0.067,50.07,13.58
2026-04-06T00:59:09.096658,bypass_red,1,215.6,215.6,215.7,1.05,0.61,1.64,0.546,0.179,0.072,0.295,-0.067,50.1,13.58
2026-04-06T00:59:14.315293,bypass_red,1,216.1,216.1,216.1,1.05,0.59,1.63,0.545,0.18,0.071,0.294,-0.067,50.14,13.58
2026-04-06T00:59:19.529517,bypass_red,1,216.2,216.2,216.2,1.04,0.6,1.63,0.544,0.179,0.071,0.294,-0.067,50.18,13.58
2026-04-06T00:59:24.748129,bypass_red,1,215.7,215.7,215.7,1.04,0.6,1.63,0.545,0.179,0.071,0.294,-0.066,50.22,13.58
2026-04-06T00:59:29.966928,bypass_red,1,215.8,215.8,215.8,1.04,0.6,1.63,0.545,0.179,0.071,0.294,-0.066,50.22,13.58
2026-04-06T00:59:35.189838,bypass_red,1,215.4,215.4,215.4,1.04,0.6,1.63,0.544,0.179,0.071,0.294,-0.065,50.2,13.58
2026-04-06T00:59:40.408339,bypass_red,1,215.3,215.4,215.4,1.04,0.6,1.64,0.544,0.178,0.071,0.294,-0.065,50.16,13.58
2026-04-06T00:59:45.624820,bypass_red,1,214.3,214.3,214.3,1.04,0.6,1.64,0.545,0.178,0.071,0.294,-0.065,50.14,13.58
2026-04-06T00:59:50.839503,bypass_red,1,214.6,214.6,214.6,1.04,0.6,1.64,0.544,0.177,0.072,0.294,-0.066,50.12,13.58
2026-04-06T00:59:56.053737,bypass_red,1,214.6,214.6,214.6,1.04,0.6,1.64,0.544,0.178,0.071,0.294,-0.066,50.15,13.58
2026-04-06T01:00:01.268035,bypass_red,1,214.7,214.7,214.7,1.04,0.6,1.64,0.544,0.178,0.071,0.294,-0.065,50.16,13.58
2026-04-06T01:00:06.482372,bypass_red,1,213.8,213.8,213.8,1.04,0.61,1.65,0.544,0.178,0.071,0.294,-0.065,50.01,13.58
2026-04-06T01:00:11.696650,bypass_red,1,214.2,214.2,214.2,1.04,0.6,1.64,0.543,0.178,0.071,0.294,-0.065,50.13,13.58
2026-04-06T01:00:16.911279,bypass_red,1,219.5,219.5,219.5,1.04,0.64,1.59,0.55,0.181,0.074,0.294,-0.058,50.23,13.58
2026-04-06T01:00:22.125518,bypass_red,1,219.5,219.5,219.5,1.04,0.63,1.59,0.547,0.181,0.071,0.294,-0.059,50.23,13.58
2026-04-06T01:00:27.339757,bypass_red,1,219.4,219.4,219.4,1.04,0.62,1.59,0.547,0.181,0.071,0.294,-0.058,50.21,13.58
2026-04-06T01:00:32.553989,bypass_red,1,219.5,219.5,219.5,1.04,0.63,1.59,0.549,0.181,0.072,0.295,-0.059,50.19,13.58
