timestamp,scenario,label,V_L1,V_L2,V_L3,I_L1,I_L2,I_L3,P_total,P_L1,P_L2,P_L3,PF_total,frequency,energy_total
2026-04-11T01:38:26.419282,bypass_red_yellow,1,205.0,205.2,205.2,2.11,2.88,0.0,0.818,0.327,0.491,0.0,0.0,49.99,26.61
2026-04-11T01:38:31.638054,bypass_red_yellow,1,205.3,205.5,205.5,2.18,2.95,0.0,0.834,0.334,0.5,0.0,0.0,50.01,26.61
2026-04-11T01:38:36.856402,bypass_red_yellow,1,205.3,205.4,205.4,1.98,2.76,0.0,0.777,0.306,0.471,0.0,0.0,50.01,26.61
2026-04-11T01:38:42.074624,bypass_red_yellow,1,205.2,205.3,205.3,1.98,2.76,0.0,0.782,0.309,0.473,0.0,0.0,50.04,26.61
2026-04-11T01:38:47.288708,bypass_red_yellow,1,205.5,205.6,205.6,1.95,2.73,0.0,0.777,0.306,0.471,0.0,0.0,50.08,26.61
2026-04-11T01:38:52.502566,bypass_red_yellow,1,205.3,205.4,205.4,1.93,2.71,0.0,0.766,0.301,0.465,0.0,0.0,50.09,26.61
2026-04-11T01:38:57.721043,bypass_red_yellow,1,205.4,205.5,205.5,2.36,3.12,0.0,0.893,0.364,0.529,0.0,0.0,50.09,26.61
2026-04-11T01:39:02.934879,bypass_red_yellow,1,205.5,205.6,205.6,1.99,2.76,0.0,0.783,0.309,0.474,0.0,0.0,50.11,26.61
2026-04-11T01:39:08.157499,bypass_red_yellow,1,205.5,205.6,205.6,2.08,2.84,0.0,0.805,0.32,0.485,0.0,0.0,50.11,26.61
2026-04-11T01:39:13.371721,bypass_red_yellow,1,205.6,205.8,205.8,3.13,3.88,0.0,1.119,0.476,0.643,0.0,0.0,50.1,26.61
2026-04-11T01:39:18.586031,bypass_red_yellow,1,205.6,205.8,205.8,3.11,3.86,0.0,1.11,0.472,0.638,0.0,0.0,50.11,26.61
2026-04-11T01:39:23.808506,bypass_red_yellow,1,205.7,205.9,205.9,3.33,4.08,0.0,1.153,0.493,0.66,0.0,0.0,50.1,26.61
2026-04-11T01:39:29.026602,bypass_red_yellow,1,205.7,205.9,205.9,2.93,3.68,0.0,1.058,0.446,0.612,0.0,0.0,50.11,26.61
2026-04-11T01:39:34.244925,bypass_red_yellow,1,206.1,206.3,206.3,3.42,4.17,0.0,1.206,0.519,0.687,0.0,0.0,50.13,26.61
2026-04-11T01:39:39.459004,bypass_red_yellow,1,206.1,206.3,206.3,3.41,4.17,0.0,1.212,0.522,0.69,0.0,0.0,50.12,26.61
2026-04-11T01:39:44.681811,bypass_red_yellow,1,206.1,206.3,206.3,3.4,4.15,0.0,1.208,0.52,0.688,0.0,0.0,50.11,26.61
2026-04-11T01:39:49.904371,bypass_red_yellow,1,206.2,206.4,206.4,3.42,4.17,0.0,1.207,0.519,0.688,0.0,0.0,50.09,26.61
2026-04-11T01:39:55.118364,bypass_red_yellow,1,205.9,206.1,206.1,3.02,3.77,0.0,1.082,0.458,0.624,0.0,0.0,50.08,26.61
2026-04-11T01:40:00.332388,bypass_red_yellow,1,206.0,206.1,206.1,2.14,2.92,0.0,0.832,0.333,0.499,0.0,0.0,50.04,26.61
2026-04-11T01:40:05.550943,bypass_red_yellow,1,205.9,206.0,206.0,2.6,3.37,0.0,0.949,0.391,0.558,0.0,0.0,50.03,26.61
2026-04-11T01:40:10.765065,bypass_red_yellow,1,206.2,206.3,206.3,1.99,2.78,0.0,0.785,0.309,0.476,0.0,0.0,50.02,26.61
2026-04-11T01:40:15.978908,bypass_red_yellow,1,205.5,205.6,205.6,1.95,2.74,0.0,0.767,0.301,0.466,0.0,0.0,50.01,26.61
