timestamp,scenario,label,V_L1,V_L2,V_L3,I_L1,I_L2,I_L3,P_total,P_L1,P_L2,P_L3,PF_total,frequency,energy_total
2026-04-06T11:59:24.501647,bypass_yellow,1,171.6,172.1,172.1,0.0,25.81,0.0,4.107,0.0,4.107,0.0,0.0,50.34,16.18
2026-04-06T11:59:29.715659,bypass_yellow,1,171.8,172.3,172.3,0.0,25.02,0.0,4.0,0.0,4.0,0.0,0.0,50.33,16.18
2026-04-06T11:59:34.934022,bypass_yellow,1,171.6,172.0,172.1,0.0,25.42,0.0,4.058,0.0,4.058,0.0,0.0,50.36,16.18
2026-04-06T11:59:40.153150,bypass_yellow,1,178.0,178.4,178.5,0.0,24.84,0.0,4.082,0.0,4.082,0.0,0.0,50.37,16.18
2026-04-06T11:59:45.367111,bypass_yellow,1,182.9,183.3,183.4,0.0,23.18,0.0,3.932,0.0,3.932,0.0,0.0,50.36,16.18
2026-04-06T11:59:50.581118,bypass_yellow,1,185.1,185.6,185.6,0.0,22.93,0.0,3.929,0.0,3.929,0.0,0.0,50.36,16.18
2026-04-06T11:59:55.794996,bypass_yellow,1,185.9,186.3,186.4,0.0,22.76,0.0,3.905,0.0,3.905,0.0,0.0,50.35,16.18
2026-04-06T12:00:01.009086,bypass_yellow,1,185.9,186.3,186.4,0.0,22.76,0.0,3.911,0.0,3.911,0.0,0.0,50.32,16.18
2026-04-06T12:00:06.223111,bypass_yellow,1,181.9,182.3,182.4,0.0,22.76,0.0,3.844,0.0,3.844,0.0,0.0,50.3,16.18
2026-04-06T12:00:11.437014,bypass_yellow,1,177.3,177.8,177.8,0.0,24.24,0.0,3.987,0.0,3.987,0.0,0.0,50.34,16.18
2026-04-06T12:00:16.650912,bypass_yellow,1,177.0,177.5,177.6,0.0,24.4,0.0,4.006,0.0,4.006,0.0,0.0,50.36,16.18
2026-04-06T12:00:21.873458,bypass_yellow,1,177.7,178.1,178.2,0.0,24.03,0.0,3.959,0.0,3.959,0.0,0.0,50.4,16.18
2026-04-06T12:00:27.087766,bypass_yellow,1,179.4,179.8,179.9,0.0,23.76,0.0,3.953,0.0,3.953,0.0,0.0,50.42,16.18
2026-04-06T12:00:32.301792,bypass_yellow,1,179.7,180.1,180.2,0.0,23.66,0.0,3.944,0.0,3.944,0.0,0.0,50.43,16.18
2026-04-06T12:00:37.515799,bypass_yellow,1,185.7,186.1,186.1,0.0,23.18,0.0,4.026,0.0,4.026,0.0,0.0,50.4,16.19
2026-04-06T12:00:42.734244,bypass_yellow,1,186.4,186.8,186.8,0.0,22.66,0.0,3.906,0.0,3.906,0.0,0.0,50.38,16.19
2026-04-06T12:00:47.948268,bypass_yellow,1,186.6,187.1,187.1,0.0,22.58,0.0,3.895,0.0,3.895,0.0,0.0,50.39,16.19
2026-04-06T12:00:53.166830,bypass_yellow,1,187.6,187.9,188.0,0.0,22.39,0.0,3.874,0.0,3.874,0.0,0.0,50.37,16.19
2026-04-06T12:00:58.380845,bypass_yellow,1,187.0,187.4,187.5,0.0,22.48,0.0,3.882,0.0,3.882,0.0,0.0,50.29,16.19
2026-04-06T12:01:03.599067,bypass_yellow,1,184.9,185.4,185.4,0.0,22.82,0.0,3.907,0.0,3.907,0.0,0.0,50.24,16.19
2026-04-06T12:01:08.817372,bypass_yellow,1,177.9,178.4,178.4,0.0,24.0,0.0,3.978,0.0,3.978,0.0,0.0,50.21,16.19
2026-04-06T12:01:14.035694,bypass_yellow,1,178.2,178.7,178.7,0.0,23.89,0.0,3.953,0.0,3.953,0.0,0.0,50.19,16.19
2026-04-06T12:01:19.249618,bypass_yellow,1,180.3,180.8,180.8,0.0,23.74,0.0,3.966,0.0,3.966,0.0,0.0,50.17,16.19
2026-04-06T12:01:24.467700,bypass_yellow,1,180.5,180.9,181.0,0.0,23.53,0.0,3.941,0.0,3.941,0.0,0.0,50.22,16.19
2026-04-06T12:01:29.681581,bypass_yellow,1,180.6,181.0,181.1,0.0,23.37,0.0,3.914,0.0,3.914,0.0,0.0,50.26,16.19
2026-04-06T12:01:34.899812,bypass_yellow,1,182.3,182.7,182.8,0.0,22.9,0.0,3.879,0.0,3.879,0.0,0.0,50.29,16.19
2026-04-06T12:01:40.119929,bypass_yellow,1,182.1,182.6,182.6,0.0,23.55,0.0,3.973,0.0,3.973,0.0,0.0,50.33,16.19
2026-04-06T12:01:45.339795,bypass_yellow,1,182.0,182.4,182.5,0.0,23.45,0.0,3.947,0.0,3.947,0.0,0.0,50.32,16.19
2026-04-06T12:01:50.553905,bypass_yellow,1,181.8,182.3,182.3,0.0,23.68,0.0,3.985,0.0,3.985,0.0,0.0,50.32,16.19
2026-04-06T12:01:55.768043,bypass_yellow,1,181.3,181.7,181.8,0.0,23.68,0.0,3.975,0.0,3.975,0.0,0.0,50.28,16.19
2026-04-06T12:02:00.999384,bypass_yellow,1,179.7,180.1,180.2,0.0,23.72,0.0,3.956,0.0,3.956,0.0,0.0,50.26,16.19
2026-04-06T12:02:06.213562,bypass_yellow,1,173.1,173.6,173.7,0.0,24.82,0.0,4.001,0.0,4.001,0.0,0.0,50.25,16.2
