timestamp,scenario,label,V_L1,V_L2,V_L3,I_L1,I_L2,I_L3,P_total,P_L1,P_L2,P_L3,PF_total,frequency,energy_total
2026-04-04T01:00:18.748780,normal,0,180.3,180.3,180.3,0.57,4.88,0.0,0.624,0.076,0.548,0.0,0.0,49.75,9.69
2026-04-04T01:00:23.963606,normal,0,181.3,181.3,181.3,0.56,4.7,0.0,0.603,0.076,0.527,0.0,0.0,49.81,9.69
2026-04-04T01:00:29.186373,normal,0,180.3,180.3,180.3,0.56,4.54,0.0,0.578,0.076,0.502,0.0,0.0,49.89,9.69
2026-04-04T01:00:34.409151,normal,0,181.3,181.3,181.3,0.56,4.6,0.0,0.587,0.076,0.511,0.0,0.0,49.92,9.69
2026-04-04T01:00:39.632532,normal,0,185.0,185.0,185.0,0.54,4.55,0.0,0.592,0.076,0.516,0.0,0.0,49.91,9.69
2026-04-04T01:00:44.848110,normal,0,182.4,182.4,182.4,0.53,4.2,0.0,0.581,0.076,0.505,0.0,0.0,49.9,9.69
2026-04-04T01:00:50.071292,normal,0,181.8,181.8,181.8,0.53,4.2,0.0,0.58,0.076,0.504,0.0,0.0,49.88,9.69
2026-04-04T01:00:55.286930,normal,0,181.3,181.3,181.3,0.53,4.23,0.11,0.583,0.076,0.507,0.0,0.0,49.88,9.69
2026-04-04T01:01:00.505395,normal,0,169.8,169.8,169.8,0.58,4.36,0.0,0.577,0.076,0.501,0.0,0.0,49.86,9.69
2026-04-04T01:01:05.719526,normal,0,170.9,170.9,170.9,0.57,4.39,0.0,0.576,0.076,0.5,0.0,0.0,49.83,9.69
2026-04-04T01:01:10.933576,normal,0,168.8,168.8,168.8,0.59,4.45,0.0,0.582,0.076,0.506,0.0,0.0,49.8,9.69
2026-04-04T01:01:16.148101,normal,0,168.9,168.9,168.9,0.59,4.48,0.0,0.584,0.076,0.508,0.0,0.0,49.76,9.69
2026-04-04T01:01:21.363667,normal,0,167.5,167.5,167.5,0.59,4.44,0.0,0.578,0.076,0.502,0.0,0.0,49.83,9.69
2026-04-04T01:01:26.577867,normal,0,170.7,170.7,170.7,0.58,4.4,0.0,0.58,0.076,0.504,0.0,0.0,49.87,9.69
2026-04-04T01:01:31.793441,normal,0,166.4,166.4,166.4,0.6,4.39,0.0,0.57,0.076,0.494,0.0,0.0,49.9,9.69
2026-04-04T01:01:37.009094,normal,0,166.4,166.4,166.4,0.6,4.38,0.0,0.567,0.076,0.491,0.0,0.0,49.93,9.69
2026-04-04T01:01:42.223173,normal,0,163.9,163.9,163.9,0.6,4.38,0.0,0.562,0.076,0.486,0.0,0.0,49.94,9.69
2026-04-04T01:01:47.438589,normal,0,166.4,166.4,166.4,0.6,4.45,0.0,0.579,0.076,0.503,0.0,0.0,49.97,9.69
2026-04-04T01:01:52.652671,normal,0,166.4,166.4,166.4,0.6,4.43,0.0,0.577,0.076,0.501,0.0,0.0,50.01,9.69
2026-04-04T01:01:57.875413,normal,0,161.0,161.0,161.0,0.62,4.44,0.0,0.565,0.076,0.489,0.0,0.0,50.08,9.69
2026-04-04T01:02:03.090087,normal,0,160.4,160.4,160.4,0.62,4.45,0.0,0.568,0.076,0.492,0.0,0.0,50.12,9.69
